timestamp,regime,ticker,subtheme,price,factor_A_12-1,factor_B_6-1,factor_C_3-1,vol_60d,ret_5d,ret_20d,rsi_14,dist_52w_high,above_50dma,above_200dma,mdd_12m,4factor_z,score_momentum,score_pullback,score_quality,score_vol_alpha,score_macro,total_100,selected,signal,weight,reason
2026-06-02T21:15:26,RISK_ON,INTC,Compute/GPU,109.33,4.0957,1.4561,1.3114,0.9018,-0.0877,0.0975,53.5,-0.1554,True,True,-0.2417,1.306,58.3,100.0,100.0,80.0,70.0,79.4,True,DIP_BUY,0.1599,"5D -8.8% / 20D +9.7% 단기 하락, 12-1 +410% / 6-1 +146% 추세 유지"
2026-06-02T21:15:26,RISK_ON,STX,Memory/Storage,921.26,5.243,1.6387,1.0362,0.6334,0.1335,0.2673,77.8,0.0,True,True,-0.21,1.614,91.7,0.0,100.0,93.9,70.0,78.2,True,SATELLITE,0.1599,위성 포지션 (점수 78/100)
2026-06-02T21:15:26,RISK_ON,WDC,Memory/Storage,546.2,7.407,1.6454,0.7227,0.6578,0.1279,0.2658,74.2,0.0,True,True,-0.2059,2.017,98.8,0.0,60.0,93.0,70.0,70.5,True,SATELLITE,0.1259,위성 포지션 (점수 71/100)
2026-06-02T21:15:26,RISK_ON,MRVL,Compute/GPU,219.43,1.7479,0.8473,1.1292,0.7214,0.1177,0.3303,74.2,0.0,True,True,-0.2636,0.414,70.0,0.0,100.0,84.4,70.0,69.2,True,SATELLITE,0.1192,위성 포지션 (점수 69/100)
2026-06-02T21:15:26,RISK_ON,AMD,Compute/GPU,510.13,2.256,0.6574,0.8881,0.7295,0.0912,0.4149,73.7,-0.0154,True,True,-0.2776,0.357,68.7,0.0,100.0,77.5,70.0,67.7,True,SATELLITE,0.1118,위성 포지션 (점수 68/100)
2026-06-02T21:15:26,RISK_ON,HPE,Systems/Server,47.0,0.6952,0.3227,0.3288,0.5782,0.2507,0.6451,86.6,0.0,True,True,-0.2373,-0.346,62.3,0.0,100.0,86.9,70.0,66.8,True,SATELLITE,0.1078,위성 포지션 (점수 67/100)
2026-06-02T21:15:26,RISK_ON,DELL,Systems/Server,465.96,0.9175,0.5879,0.4521,0.9409,0.5785,1.2171,91.3,0.0,True,True,-0.3234,-0.187,62.2,0.0,100.0,83.9,70.0,66.3,False,EXIT,0.0,12M MDD -32.3% < -30% (장기 모멘텀 붕괴)
2026-06-02T21:15:26,RISK_ON,MU,Memory/Storage,1035.5,4.7538,1.2947,0.4287,0.8637,0.3788,0.9098,80.7,0.0,True,True,-0.3028,1.07,82.3,0.0,60.0,99.4,70.0,65.7,False,EXIT,0.0,12M MDD -30.3% < -30% (장기 모멘텀 붕괴)
2026-06-02T21:15:26,RISK_ON,CSCO,Networking,121.33,0.4905,0.2067,0.1696,0.3873,0.0076,0.321,76.5,0.0,True,True,-0.1357,-0.424,59.9,0.0,93.2,75.2,70.0,62.6,True,TACTICAL,0.0866,전술적 보유 (점수 63/100)
2026-06-02T21:15:26,RISK_ON,AVGO,Compute/GPU,459.97,0.7544,0.0497,0.3452,0.4201,0.1107,0.0918,69.8,0.0,True,True,-0.2867,-0.391,59.1,0.0,100.0,40.4,70.0,58.8,True,TACTICAL,0.0679,전술적 보유 (점수 59/100)
2026-06-02T21:15:26,RISK_ON,ANET,Networking,170.68,0.9933,0.3215,0.386,0.6009,0.1081,-0.0117,64.9,-0.0397,True,True,-0.2833,-0.26,51.8,0.0,100.0,48.3,70.0,57.4,True,TACTICAL,0.0611,전술적 보유 (점수 57/100)
2026-06-02T21:15:26,RISK_ON,TSM,Compute/GPU,435.63,1.0825,0.3717,0.1293,0.4273,0.0769,0.0955,65.8,0.0,True,True,-0.1814,-0.242,62.6,0.0,68.7,66.2,70.0,56.0,False,TACTICAL,0.0,전술적 보유 (점수 56/100)
2026-06-02T21:15:26,RISK_ON,NVDA,Compute/GPU,224.36,0.4689,0.1213,0.1023,0.3788,0.0419,0.1306,60.4,-0.0483,True,True,-0.2021,-0.489,47.0,0.0,88.3,48.9,70.0,52.8,False,TACTICAL,0.0,전술적 보유 (점수 53/100)
2026-06-02T21:15:26,RISK_ON,VRT,Power/Cooling,323.39,2.0456,0.8271,0.3434,0.6016,-0.0124,-0.015,49.1,-0.1404,True,True,-0.2478,0.216,42.0,0.0,66.0,65.4,70.0,48.0,False,REDUCE,0.0,비중 축소 (점수 48/100)
2026-06-02T21:15:26,RISK_ON,SNOW,Data/Software,280.16,-0.3144,-0.4388,-0.1495,0.984,0.6269,0.987,89.2,0.0,True,True,-0.563,-1.195,42.1,0.0,94.0,6.7,70.0,46.2,False,EXIT,0.0,12M MDD -56.3% < -30% (장기 모멘텀 붕괴)
2026-06-02T21:15:26,RISK_ON,PSTG,Memory/Storage,84.45,0.3364,-0.1949,0.16,0.6268,-0.0315,0.1791,57.4,-0.1444,True,True,-0.4226,-0.752,28.7,0.0,100.0,6.3,70.0,43.0,False,EXIT,0.0,12M MDD -42.3% < -30% (장기 모멘텀 붕괴)
2026-06-02T21:15:26,RISK_ON,ORCL,Data/Software,248.15,0.0485,-0.1439,0.1572,0.62,0.2919,0.4442,80.7,-0.2382,True,True,-0.5825,-0.797,24.3,0.0,100.0,11.8,70.0,42.3,False,EXIT,0.0,12M MDD -58.2% < -30% (장기 모멘텀 붕괴)
2026-06-02T21:15:26,RISK_ON,SMCI,Systems/Server,46.88,-0.3231,-0.1997,-0.117,1.1014,0.3176,0.7305,80.3,-0.2278,True,True,-0.6618,-1.082,23.8,0.0,76.6,17.7,70.0,37.1,False,EXCLUDED,0.0,사전 필터 탈락: vol60d>100%
